rt,acc,subject,word,priming_effect,speech_isochrony,syllable_number
1433.9751,0,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,canary,inconsistent,original,trisyllabic
1414.7756,1,312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,kangaroo,inconsistent,original,trisyllabic
1024.5212,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,parrot,consistent,original,disyllabic
984.9632,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,lionfish,inconsistent,original,trisyllabic
1006.7301,0,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,dolphin,inconsistent,original,disyllabic
1028.0336000000002,0,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,pigeon,consistent,original,disyllabic
1290.6856,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,octopus,inconsistent,original,trisyllabic
1610.5168,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,mosquito,inconsistent,original,trisyllabic
1207.1139,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,spider,consistent,original,disyllabic
1024.0857,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,lyrebird,consistent,original,trisyllabic
1124.3339,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,lyrebird,inconsistent,original,trisyllabic
1216.5550999999998,0,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,parrot,inconsistent,original,disyllabic
965.4981,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,elephant,consistent,original,trisyllabic
1197.102,0,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,canary,inconsistent,original,trisyllabic
1132.9642,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,seahorse,inconsistent,original,disyllabic
719.6388999999999,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,elephant,inconsistent,original,trisyllabic
1237.3483,0,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,turkey,inconsistent,original,disyllabic
1287.3549,0,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,ladybug,consistent,original,trisyllabic
1156.5247000000002,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,goldfish,inconsistent,original,disyllabic
835.9568,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,spider,inconsistent,original,disyllabic
776.8254999999999,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,seahorse,consistent,original,disyllabic
1123.3067,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,dinosaur,inconsistent,original,trisyllabic
1155.8579,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,giraffe,consistent,original,disyllabic
1188.6625,0,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,penguin,consistent,original,disyllabic
1019.3863999999999,0,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,turkey,consistent,original,disyllabic
1100.5538,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,gorilla,inconsistent,original,trisyllabic
1042.1513,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,jellyfish,inconsistent,original,trisyllabic
1098.6175,0,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,ladybug,inconsistent,original,trisyllabic
1411.8789000000002,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,antelope,consistent,original,trisyllabic
843.5622000000001,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,goldfish,consistent,original,disyllabic
952.4208,0,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,turtle,inconsistent,original,disyllabic
937.1463,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,monkey,consistent,original,disyllabic
855.2904,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,monkey,inconsistent,original,disyllabic
980.2843,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,antelope,inconsistent,original,trisyllabic
1403.8701,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,gorilla,consistent,original,trisyllabic
1074.9058,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,giraffe,inconsistent,original,disyllabic
1130.5311,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,pigeon,inconsistent,original,disyllabic
1072.1284,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,donkey,inconsistent,original,disyllabic
1210.8201999999999,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,kangaroo,inconsistent,original,trisyllabic
1089.4660000000001,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,octopus,consistent,original,trisyllabic
981.0501,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,dinosaur,consistent,original,trisyllabic
910.5954,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,lionfish,consistent,original,trisyllabic
