sub,priming,word,ifanimal,ifcorr,rt,exp_type,syl
312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,priming,parrot,TRUE,0,1.1516053,exp1,2
312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,primingeq,coffee,FALSE,1,1.5853581,exp1,2
312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,priming,jellyfish,TRUE,1,1.7948541,exp1,3
312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,primingeq,lyrebird,TRUE,1,1.3195542,exp1,3
312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,primingeq,pigeon,TRUE,1,1.1908802,exp1,2
312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,priming,medicine,FALSE,1,1.1864402,exp1,3
312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,primingeq,banana,FALSE,1,1.8963163,exp1,3
312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,priming,potato,FALSE,1,1.3571313,exp1,3
312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,primingeq,anxiety,FALSE,1,1.2831009,exp1,3
312-zhongkuanyi_linguistic_rhythm_priming_2023-03-12_14h24.31.413.csv,priming,kangaroo,TRUE,1,1.5912444,exp1,3
